,details
47,"{'Location': 'near Global village Tech Park Rd, Jayanagar, Bangalore, India, 560056', 'overall_rating': '8.8', 'Name': 'PANCHAMI COMFORTS', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Great stay ”', 'Review_Body': ""Stayed here for 6 days, you'll definitely love the stay.""}, {'Review_Rating': '9.6', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Bang next to metro station located at heart of the city. Good food, nice room and good staff.'}, {'Review_Rating': '9.6', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Clean hotel '}], 'price': '1,978', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/356990626.jpg?k=95099a4dacf89c794af68a9f9ddb0da51fce0ceb879a0c8020aca84006cad58f&o=', 'room_size': '19m²', 'amenities': ['Garden view', 'Non-smoking', 'Shower and bathtub', 'Free Wi-Fi', 'Cleaning products', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Adapter', 'Air conditioning', 'Alarm clock', 'Fan', 'Hand sanitizer', 'Linens', 'Mosquito net', 'Private entrance', 'Sleep comfort items', 'Wake-up service', 'Coffee/tea maker', 'Dining table', 'Free bottled water', 'Free welcome drink', 'Mini bar', 'Refrigerator', 'Wine glasses', 'Desk', 'Separate dining area', 'Sofa', 'Tile/marble flooring', 'Trash cans', 'Window', 'Wooden/parqueted flooring', 'Closet', 'Clothes rack', 'Ironing facilities', 'Sewing kit', 'Accessible by stairs', 'Fire extinguisher', 'Individual air conditioning', 'In-room safe box', 'Locker'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/panchami-comforts/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=a82dec20-1ee7-487a-b19d-6211878a3664'}"
48,"{'Location': '#61, CMR Road, 4th Cross, HRBR layout,Kamanahalli, Kalyan Nagar, HBR Layout, Bangalore, India, 560043', 'overall_rating': '6.8', 'Name': 'Shoba Inn', 'reviews': [{'Review_Rating': '3.6', 'Review_Heading': 'Acceptable”', 'Review_Body': 'Poor'}, {'Review_Rating': '6.0', 'Review_Heading': 'Average place. ”', 'Review_Body': 'Good loctation'}, {'Review_Rating': '4.8', 'Review_Heading': 'Rooms look nice in pictures but mediocre hotel”', 'Review_Body': ""Receptionist was very friendly but the room itself was not anything to write home about which is fine, except... Bathroom was not clean, probably because of no one is booking rooms during covid and they are not cleaning regularly.\n\nDid not get sleep in the nights because the walls are thin and theres a lot of banging from the 'staff' doors right opposite the room. No water was provided, breakfast is not included. Would not book again.""}, {'Review_Rating': '7.6', 'Review_Heading': 'Every thing good other than breakfast ”', 'Review_Body': 'Can make your service and facilities much better than now'}, {'Review_Rating': '8.0', 'Review_Heading': 'Best location”', 'Review_Body': 'The hotel is located in the best and convenient area in Kammanahalli.'}, {'Review_Rating': '5.3', 'Review_Heading': 'HONEST OPINION”', 'Review_Body': 'LOCATION'}, {'Review_Rating': '8.3', 'Review_Heading': 'Good location, excellent staffs,reasonable price”', 'Review_Body': 'Location/Staff/Value for money'}], 'price': '1,666', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/99523903.jpg?k=e85a8dfa4d09514f5ea7d05221a8b651feb0338277f251f31673b7730924e75c&o=', 'room_size': '14m²', 'amenities': ['City view', 'Shower', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Fan', 'Linens', 'Wake-up service', 'Tile/marble flooring', 'Closet'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/shoba-inn/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=1&los=1&searchrequestid=a82dec20-1ee7-487a-b19d-6211878a3664'}"
49,"{'Location': '505, Behind IIMB 5th main, Bannerghatta main road, vijaya bank layout,, Gottigere, Bangalore, India, 560076', 'overall_rating': '7.8', 'Name': 'Hotel Nestelinn By Rivido', 'reviews': [{'Review_Rating': '9.2', 'Review_Heading': 'Very good”', 'Review_Body': 'very good for the price, I will visit again.'}, {'Review_Rating': '3.2', 'Review_Heading': 'Solo travller”', 'Review_Body': 'Should give details in advance if the equipments in hotel are not working..Being away from the town..should have some room service facility..'}, {'Review_Rating': '8.4', 'Review_Heading': 'Good place to stay”', 'Review_Body': 'Value for money. Location was great. Rooms were good.'}, {'Review_Rating': '9.2', 'Review_Heading': 'Overall Good Stay”', 'Review_Body': 'It was a good stay. Hotel, staff, food, locality all were just perfect. '}, {'Review_Rating': '8.0', 'Review_Heading': 'Very good”', 'Review_Body': 'Parking should be done in road. Room boys are not available to carry your luggage. WiFi and TV will be provided only if asked.'}], 'price': '1,220', 'img_link': 'https://pix8.agoda.net/hotelImages/189/18927502/18927502_20102619130092905087.jpg?ca=15&ce=1&s=1024x768', 'room_size': '210m²', 'amenities': ['Park view', 'Shower and bathtub', 'Free Wi-Fi', 'Towels', 'Free Wi-Fi in all rooms!', 'Telephone', 'TV [flat screen]', 'Air conditioning', 'Daily newspaper', 'Fan', 'High floor', 'Fire extinguisher', 'First aid kit', 'In-room safe box'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/hotel-nestelinn-by-rivido/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=a82dec20-1ee7-487a-b19d-6211878a3664'}"
50,"{'Location': 'RoadBangaloreKarnatakaIndia560064, Devanahalli, Bangalore, India, 560064', 'overall_rating': '4.4', 'Name': 'Collection O 700570 Hotel 1089 Olive', 'reviews': [{'Review_Rating': '2.0', 'Review_Heading': 'Refused my business. ”', 'Review_Body': 'Didn’t advertise as an OYO. Wouldn’t accept tourist. Very rude front desk guy '}], 'price': '1,267', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/426102927.jpg?k=d4c580ed990e4cced79aa3279f740fa1d3316bf3428baa00f9c2de27b1dbfa6b&o=', 'room_size': '0', 'amenities': ['Free Wi-Fi', 'Free Wi-Fi in all rooms!', 'TV', 'Air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/collection-o-700570-hotel-1089-olive/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=a82dec20-1ee7-487a-b19d-6211878a3664'}"
51,"{'Location': '4th main, 4th block,HBR Layout, behind Bhima Jewellers, HBR Layout, Bangalore, India, 560043', 'overall_rating': '8.2', 'Name': 'Royal Serenity', 'reviews': [{'Review_Rating': '9.6', 'Review_Heading': 'Staff is superb”', 'Review_Body': 'Staff was very friendly, had a wonderful 2 day stay at royal serenity during new year week'}], 'price': '2,131', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/359425589.jpg?k=0fc9fd35ec11b5f4fe708fcaa625578b36c616d71a23fbd5ff79841572c97923&o=', 'room_size': '14m²', 'amenities': ['Outdoor view', 'Shower', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Air conditioning', 'Concierge', 'Fan', 'Hand sanitizer', 'Desk', 'Trash cans', 'Clothes rack', 'Fire extinguisher'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/royal-serenity_2/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=a82dec20-1ee7-487a-b19d-6211878a3664'}"
52,"{'Location': 'No.9, 20th Cross, 5th Block, Ashwath Nagar, HBR Layout, Nagawara, HBR Layout, Bangalore, India, 560045', 'overall_rating': '9.1', 'Name': 'Elysian Grand Hotel', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Gem 💎 between decorated stones.”', 'Review_Body': 'Firstly the fragrance when we entered the room was very cool. The services they have provided, cleanliness, facilities everything is mind blowing. Also the Manager and staff were all very polite.\nThe food was good.'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Staff behaviour and maintenance, food'}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'Rooms is not as per photos.  No sofa seater.  Dirty and small  balcony.  Executive room in the photos and hotel rooms are completely different.  Smelly bathroom'}, {'Review_Rating': '8.0', 'Review_Heading': 'Value for money”', 'Review_Body': 'Gajanand at Reception was very courteous and prompt at service. I found kettle and dental kit to be available on request. One big positive for me was availability of fan along with AC. I rarely use AC and prefer a fan which is rare these days in hotels strangely so it was a pleasant surprise. Beds, linen and bathrooms were all clean.'}, {'Review_Rating': '9.0', 'Review_Heading': 'Not need to say more”', 'Review_Body': 'Good hotel but location is very poor. Very difficult to reach landmark. Everything is ok.\nThanks'}, {'Review_Rating': '10.0', 'Review_Heading': 'good for family”', 'Review_Body': 'very good stay. rooms are very clean. near to the city.'}, {'Review_Rating': '9.0', 'Review_Heading': 'Superb”', 'Review_Body': 'Excellent property and behaviour of the staff.\nRooms were cleam and amenities were good.'}, {'Review_Rating': '10.0', 'Review_Heading': 'Excellent”', 'Review_Body': 'The staff was very humble and helpful. The property is quite descent at this prize. The room was very clean and spacious. The hotel manager was very easy to deal with. The area is also very sober and descent.'}, {'Review_Rating': '9.0', 'Review_Heading': 'Superb”', 'Review_Body': 'jsu'}], 'price': '1,781', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/416150888.jpg?k=89a4419fb1b1e7f994f4366842bdbd7376d7c305dadff08a1c45373a08c6e812&o=', 'room_size': '32m²', 'amenities': ['Outdoor view', 'Balcony/terrace', 'Shower and bathtub', 'Hair dryer', 'Toiletries', 'Towels', 'Streaming service like Netflix', 'Telephone', 'TV [flat screen]', 'Adapter', 'Air conditioning', 'Alarm clock', 'Fan', 'Hand sanitizer', 'Linens', 'Sleep comfort items', 'Slippers', 'Soundproofing', 'Wake-up service', 'Coffee/tea maker', 'Free bottled water', 'Desk', 'Sofa', 'Tile/marble flooring', 'Wooden/parqueted flooring', 'Closet', 'Clothes rack', 'Ironing facilities', 'Accessible by elevator', 'Baby safety gates', 'Fire extinguisher', 'Individual air conditioning', 'Safety/security feature'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/elysian-grand-hotel_2/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=6&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
53,"{'Location': 'No.1699/43, Dr.rajkumar Road Prakashnagar, Bangalore City Center, Bangalore, India, 560021', 'overall_rating': '6.7', 'Name': 'Hotel Aurainn', 'reviews': [{'Review_Rating': '2.0', 'Review_Heading': 'Rubbish.”', 'Review_Body': 'Bed was comfortable and location was handy.'}, {'Review_Rating': '7.0', 'Review_Heading': 'Good”', 'Review_Body': 'Spacious'}, {'Review_Rating': '8.0', 'Review_Heading': 'Very Good”', 'Review_Body': 'Very good'}, {'Review_Rating': '4.0', 'Review_Heading': 'Disappointing”', 'Review_Body': 'They charged extra for early check-in which they previously confirmed not needed in booking app chat'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'All the facilities are good'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Good location'}, {'Review_Rating': '7.0', 'Review_Heading': 'good stay.  i need the receipt”', 'Review_Body': 'convenient location and friendly staff'}, {'Review_Rating': '7.0', 'Review_Heading': 'Sood”', 'Review_Body': 'No Bf'}, {'Review_Rating': '1.0', 'Review_Heading': 'Bad”', 'Review_Body': 'No complimentary breakfast'}], 'price': '1,294', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/350408979.jpg?k=3baca14b2c3c49e9a451ec0f8c398ead0203fb5922c9e5e707f30abcfb7d9d26&o=', 'room_size': '0', 'amenities': ['Air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/hotel-aurainn/hotel/all/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
54,"{'Location': '5BC-964,City Pearl, Horamavu Agara Main Road, Nanjappa Garden, Horamavu, Mahadevapura Zone, Bengaluru,Bangalore, HBR Layout, Bangalore, India, 560043', 'overall_rating': '5.7', 'Name': 'Townhouse Oak Hotel Prime', 'reviews': [{'Review_Rating': '2.0', 'Review_Heading': 'Bad service ”', 'Review_Body': 'Charged extra money. No breakfast,No room service '}, {'Review_Rating': '6.0', 'Review_Heading': 'Okay!”', 'Review_Body': 'Better for solo traveller.'}, {'Review_Rating': '9.2', 'Review_Heading': 'Best in the area”', 'Review_Body': 'Well maintained highly recomended'}], 'price': '1,761', 'img_link': 'https://pix8.agoda.net/hotelImages/25943475/-1/6740d60929dd3f867ef74d76ba18e5b3.jpg?ce=0&s=1024x768', 'room_size': '12m²', 'amenities': ['Shower', 'Free Wi-Fi', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Blackout curtains', 'Fan', 'Linens', 'Coffee/tea maker', 'Closet', 'Smoke detector'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/townhouse-oak-80497-hotel-prime/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
55,"{'Location': '3rd Cross Road, Kaveri NagarBangaloreKarnatakaIndia560077, Devanahalli, Bangalore, India, 560077', 'overall_rating': 'Select your room', 'Name': 'Flagship 93408 Honnagiri Residency', 'reviews': [{'Review_Rating': '2.0', 'Review_Heading': 'Big Scam”', 'Review_Body': ""This is not a hotel... Its a Whitehouse, that they host to trap poor travellers and tourist... Don't fall for it... Agoda also can't do anything if you have a bad experience... They will just say that it's Oyo responsibility... Don't waste your money and get tortured ""}, {'Review_Rating': '2.0', 'Review_Heading': 'Worst hotel”', 'Review_Body': ""I have booked through Oyo with full payment advance but they took same amount while check-in. Arogent staff and dirty rooms. Plz don't choose this hotel ""}], 'price': '615', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/426037785.jpg?k=334d6e0b6dd1311f08cd548adb92c0c78d728902fe468441d4ebcc5447f2b16b&o=', 'room_size': '0', 'amenities': ['Free Wi-Fi', 'Free Wi-Fi in all rooms!', 'TV', 'Air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-flagship-93408-honnagiri-residency/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
56,"{'Location': 'No 2/1b, Attible, Anekal Taluk,Bangalore south., 3, Electronic City, Bangalore, India, 562107', 'overall_rating': '9.1', 'Name': 'Happys Hotel', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Budget friendly yet Luxurious ”', 'Review_Body': ""If you're looking for a budget friendly,neat,well maintained property which is easily accessible, would strongly recommend Happys hotel. It's very close to the toll plaza on the national highway with a attached restaurant\nThe best part was the staff team.I would like to mention the manager Mr.Srinivas and the support staff who were really helpful and humble.Service was very prompt and to the satisfaction.\nKeep up the good work team,hoping to visit soon""}], 'price': '2,227', 'img_link': 'https://pix8.agoda.net/hotelImages/33432555/0/8b89ac8a176b49f0255659e5feaa2950.jpg?ce=0&s=1024x768', 'room_size': '16m²', 'amenities': ['Free Wi-Fi', 'Cleaning products', 'Free Wi-Fi in all rooms!', 'Air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/happpys-hotel/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
57,"{'Location': '1, Konappana Agrahara, Electronic City, Electronic City, Bangalore, India, 560100', 'overall_rating': 'Select your room', 'Name': 'Flagship 18372 Splenor Inn', 'reviews': [{'Review_Rating': '4.8', 'Review_Heading': 'Never book this hotel from OYO”', 'Review_Body': ""It seems to be attractive prices in Oyo or other websites but they won't allow you to checkin if you don't pay extra money. I paid 1300 for two nights however they asked me to pay extra 700 if you don't pay they ask you to talk to Oyo and change the room and if you call Oyo you'll get old by the time they respond so finally you have to pay extra money""}, {'Review_Rating': '5.6', 'Review_Heading': 'Bad experience”', 'Review_Body': ""I did not get the complete service for what I paid for. I booked a std double room with breakfast included in Agoda Website., but hotel management said they do not provide Breakfast, the receptionist said its not our fault its Agoda's fault you talk to them, and for everyone we are advising the same... Agoda please payback my difference""}, {'Review_Rating': '3.6', 'Review_Heading': 'Third class service very poor management ”', 'Review_Body': 'Receptionist  the bald guy and the night shift guy ..where they trick you with A - first pay extra . B - MARRIED COUPLES !!! \nThey ask you call the booking agent ! \nThen once that is resolved , they will tell you the .. Plan B which is .. married couples \n\n\nRAISE YOUR VOICE  . THESE PEOPLE ARE HEA TO TRICK YOU '}, {'Review_Rating': '2.0', 'Review_Heading': 'Dustbin ”', 'Review_Body': 'Dont go this lodge .....'}, {'Review_Rating': '3.6', 'Review_Heading': 'Asks extra money”', 'Review_Body': 'I booked this hotel room for 780₹\nWhen I reached the hotel and asked the room the one in the reception told me he had a contract to give the room for ₹1500\nSo if i need the room pay additional 780₹ \nI have no other choice but to pay extra money because I travelled all the way from Thiruvananthapuram to Banglore by bike and was exhausted \nSo don’t put your money in this hotel\nAgoda doesn’t even help either\nBook from any other app.'}, {'Review_Rating': '2.0', 'Review_Heading': 'Please don’t book this”', 'Review_Body': 'I couldn’t able to stay for a night.. same day i have shifted to another hotel eventhough they didn’t refund the money..'}, {'Review_Rating': '2.8', 'Review_Heading': 'Waste”', 'Review_Body': ""They don't give that facility which is mantaion in agoda app app no cleaning no soap no water waste""}, {'Review_Rating': '6.8', 'Review_Heading': 'Nice to stay”', 'Review_Body': 'Cleanliness should be improved. Facilities are ok'}, {'Review_Rating': '7.2', 'Review_Heading': 'Best Location ”', 'Review_Body': 'BEST LOCATION'}, {'Review_Rating': '2.0', 'Review_Heading': 'Pathetic...”', 'Review_Body': ""To say in one word it's pathetic... Front office people lack basic courtesy, literally don't even know to be polite.\nNo support staff at all, so just forget about any room service.\nRooms are shabby & stinks.. even if you complaint, they say they can't do anything about it..\nToilets are I'll maintained & unhygienic. Literally everything leaks & drain is blocked..\nHorrible to say the least..\nKINDLY CLOSE DOWN IF YOU CAN'T RUN""}, {'Review_Rating': '8.0', 'Review_Heading': 'good”', 'Review_Body': 'good'}, {'Review_Rating': '2.8', 'Review_Heading': 'Worst room”', 'Review_Body': 'Worst behaviour'}], 'price': '1,067', 'img_link': 'https://pix8.agoda.net/hotelImages/6396313/-1/c049fc666fa9b9d5daae8090467af092.jpg?ca=9&ce=1&s=1024x768', 'room_size': '16m²', 'amenities': ['Non-smoking', 'Shower', 'Free Wi-Fi', 'Bathrobes', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Fan', 'Linens', 'Free bottled water', 'Desk', 'Seating area', 'Trash cans', 'Closet', 'Fire extinguisher', 'First aid kit', 'Individual air conditioning', 'Smoke detector'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-18372-splenor-inn_2/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=3&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
58,"{'Location': '1090/A, 5th Block, Ashwath Nagar, HBR Layout, Bengaluru, Karnataka, HBR Layout, Bangalore, India, 560045', 'overall_rating': '7.6', 'Name': 'Treebo Trend Royal Splendid', 'reviews': [{'Review_Rating': '9.2', 'Review_Heading': 'Decent budget hotel”', 'Review_Body': 'Clean room, good behaviour of staff. \nFood is average and not value for money. '}], 'price': '1,525', 'img_link': 'https://pix8.agoda.net/hotelImages/33088843/537005153/8f5099504aeb74a82169518f57eda99e.jpg?ce=0&s=1024x768', 'room_size': '0', 'amenities': ['Non-smoking', 'Shower', 'Free Wi-Fi', 'Accessible toilet', 'Mirror', 'Toiletries', 'Towels', 'TV [flat screen]', 'Wi-Fi [free]', 'Air conditioning', 'Fan', 'Free bottled water', 'Desk', 'Laptop workspace', 'Sofa', 'Trash cans', 'Window', 'Closet', 'Clothes rack', 'Ironing facilities'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/treebo-trend-royal-splendid/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
59,"{'Location': 'X, Fiesta Grand Business Hotel, Mariyappa Road, Jayanagar Ward, South Zone, Bangalore North, Bangalore, Kormangala, Bangalore, India, 560011', 'overall_rating': '3.1', 'Name': 'OYO 71720 Hotel Fiesta Grand', 'reviews': [{'Review_Rating': '2.4', 'Review_Heading': 'Not at all Grand”', 'Review_Body': ""Booked via Oyo at a discounted price but staff said they don't take bookings at discounts so had to pay full price after reaching there. Room walls had mold all over. We found bottle cap rims inside the bedsheet. The mattress springs were jetting out. They tried to charge us for two bottles of water which we didn't even buy.""}, {'Review_Rating': '2.0', 'Review_Heading': 'They have charged extra and room was very bad”', 'Review_Body': 'They have charged extra and room was very bad'}, {'Review_Rating': '2.0', 'Review_Heading': 'Worst hotel ”', 'Review_Body': ""Worst experience with this hotel. Booked using Agoda app for 584rs and once I reached hotel the receptionist said technical issue and Room cost is 1500rs. Since I had no other option hence negotiated and paid 1300rs. Room was worst seems like one night stand. No towels no soap and no space to move around also. Never seen such room. I can't trust Agoda website for bookings in future and will no recommend to anyone.  Totally wasted my hard earned money.""}, {'Review_Rating': '3.2', 'Review_Heading': 'Poor and cheap staff”', 'Review_Body': 'Look for alternatives, this is not a place to stay '}], 'price': '1,245', 'img_link': 'https://pix8.agoda.net/hotelImages/13603845/-1/8a6e74dc0498be6632111a32cd92af0f.jpg?ce=0&s=1024x768', 'room_size': '16m²', 'amenities': ['Non-smoking', 'Shower', 'Free Wi-Fi', 'Hair dryer', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Blackout curtains', 'Fan', 'Linens', 'Coffee/tea maker', 'Free bottled water', 'Refrigerator', 'Desk', 'Seating area', 'Window', 'Closet', 'Fire extinguisher', 'First aid kit', 'Individual air conditioning', 'Smoke detector'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-71720-hotel-fiesta-grand/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=7c240c96-2ad4-4d36-9e3b-69baf2879808'}"
