,details
0,"{'Location': 'Diplomatic Enclave, 50-B Chanakayapuri, Central Delhi, New Delhi and NCR, India, 110021', 'overall_rating': '7.3', 'Name': 'The Ashok Hotel', 'reviews': [{'Review_Rating': '3.2', 'Review_Heading': 'Acceptable”', 'Review_Body': 'Worst of hotel of its kind... very bad service... near recommend to my friends or enemy '}, {'Review_Rating': '4.0', 'Review_Heading': 'Customer service is zero grade”', 'Review_Body': 'Customer service is very bad and rude '}, {'Review_Rating': '10.0', 'Review_Heading': 'Good place to visit ”', 'Review_Body': 'The Hotel is Good...and breakfast is very good....friendly staff'}, {'Review_Rating': '9.6', 'Review_Heading': 'Got upgraded to the suite”', 'Review_Body': 'The room was very large with 2 bathrooms, living room, dining table, working desk. I was so surprised when I arrived to the room. The staff was very helpful as well. The lighting system was upgraded and it’s very convenient to control the lights across the room. Very nice stay '}, {'Review_Rating': '5.2', 'Review_Heading': 'Rooms were not clean.”', 'Review_Body': 'Very old room, AC not working properly, wooden flooring in the rooms are in bad shape (Broken), Few electric points were not working. If you are spending more than 30K then you should expect luxury room but here it is different. Apart from the location, I would say nothing was good.'}, {'Review_Rating': '6.0', 'Review_Heading': 'Good Location”', 'Review_Body': 'The location is good. But the hotel is not a 5 star both in quality and service as compared to other options in vicinity. Because of good location, this will be a choice only when other options are not available. '}, {'Review_Rating': '5.2', 'Review_Heading': 'Dated”', 'Review_Body': 'Dated place. Breakfast place was not meant to cater to large crowd. '}, {'Review_Rating': '2.0', 'Review_Heading': 'Terrifying, dirty and racism”', 'Review_Body': 'Terrifying and dirty racism. The manager of the hotel is a racist who urges the killing of Muslims I demanded the return of my money paid to me to stay overnight in a dirty cell ! full of cockroaches and insects and the smell of damp furniture in addition to racism for the employees.\nI took photos as proof against the manager to raise a complaints about his racism.\nI would not recommend this hotel to any one even to the dogs '}, {'Review_Rating': '4.4', 'Review_Heading': 'AVOID AT ALL COSTS”', 'Review_Body': 'My daughter and I were looking forward to this hotel. The lobby is beautiful and clean. Unfortunately aside from that the experience was a disaster from start to finish. When we arrived for check in we had to wait because their reservation system was not working. We had called twice to confirm a non-smoking room and were assured that we would get one. However when we checked in there were only smoking rooms available. We proceeded anyway and when we arrived to the suite we found over 10 flies in the bathroom. Dust rained down from the curtains when we opened it. We later switched rooms. Fast forward to midnight when we were awakened to a loud bang and saw that someone was trying to enter our room. It was someone telling us that it was check out time. After calling the reception we discovered that they forgot to switch our room number in their system. The next day we tried to use the pool only to find out that it isn’t owned by Ashok and they have this ridiculous rule where we can’t even sit by the pool unless we go in our swimsuits and swim in the pool. The whole experience was horrible and we hope you avoid our mistake of booking their hotel rooms. '}, {'Review_Rating': '4.8', 'Review_Heading': 'Acceptable”', 'Review_Body': 'Though the hotel has huge potential it is outgrown its own capacity. We were grateful to have a suite, less so when we discovers the terrace doors and windows were broken and allowed two nights of wedding party noise to flood in. The staff were, with one or two exceptions rude, officious and lacking in any kind of warmth. Breakfast was a farce - the staff and space simply unable to cope with the numbers. The door was literally shut in our faces and then, when I challenged the manager on his rudeness, he simply walked away. In the end we just walked in.No one subsequently managed the situation and even when we left, a manager was there telling people to wait (in my view rudely) whilst others simply walked in without challenge ahead of those who were waiting. The tables were filthy but to be fair the staff did attempt to clean when asked. Check out was brusquely handled with some staff sitting around doing nothing and guests having to queue to see those staff who were serving. We did use room service and the second time the staff member demanded payment despite our having given a credit card at reception. He then said he didn’t have a card machine with him. We paid cash and could not get a receipt apparently. It is a shame as clearly management are hopeless and the staff on the ground have no clear guidance . It has potential to be great but not managed like this.'}, {'Review_Rating': '5.2', 'Review_Heading': 'Above average”', 'Review_Body': 'Good Food, Good Service but totally run-down rooms. Poor maintenance. Definitely not 5 star. Three n half star rating.'}, {'Review_Rating': '6.8', 'Review_Heading': 'Leisure Stay”', 'Review_Body': 'The Hotel is well maintained but quality of staff and services at reception are poor \nThe rooms are small compared to the value if'}, {'Review_Rating': '8.4', 'Review_Heading': 'Excellent”', 'Review_Body': 'Huge hotel. Food is expensive for the quality. It is a government 5 star property.'}, {'Review_Rating': '7.2', 'Review_Heading': 'Very good”', 'Review_Body': 'lobby sound to much disturbing \nthere is no sound proof door\nsome of bathroom wood plate was making noise continuously\n'}, {'Review_Rating': '6.4', 'Review_Heading': 'Good”', 'Review_Body': 'Hotel is good but need improvement in up keeping and cleanliness in room'}, {'Review_Rating': '10.0', 'Review_Heading': 'Centrally located ”', 'Review_Body': 'Good food and don’t forget the complimentary cold drink … if not there in fridge ask the reception for one '}, {'Review_Rating': '4.4', 'Review_Heading': 'Good for Work Only”', 'Review_Body': 'Hotel is in Diplomat Enclave area od New Delhi, So dont expect any stores near by in walkable distance. \nCleanliness need to be improved a lot, definitely the Rooms are not worth that amount. '}, {'Review_Rating': '4.0', 'Review_Heading': 'Dont Stay there”', 'Review_Body': 'Very Old rooms'}, {'Review_Rating': '5.6', 'Review_Heading': 'Overpriced and lacking maintenance ”', 'Review_Body': ""It's a great location and building.  That's about it. The food, maintenance and facilties are lacking generally.""}, {'Review_Rating': '5.2', 'Review_Heading': 'Byval to kdysi luxusni hotel ”', 'Review_Body': 'Historicke vybaveni \nU snidane neni dostatek stolu '}], 'price': '10,000', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/36068596.jpg?k=6de16497b3a60f9ea488207730d4483665f5f0fb72104f1fcea28c5f0ace6c97&o=', 'room_size': '24m²', 'amenities': ['Outdoor view', 'Shower', 'Free Wi-Fi', 'Bathrobes', 'Hair dryer', 'Mirror', 'Toiletries', 'Towels', 'Walk-in shower', 'Free Wi-Fi in all rooms!', 'Pool facilities', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Linens', 'Slippers', 'Wake-up service', 'Free bottled water', 'Fruits/snacks', 'Mini bar', 'Desk', 'Seating area', 'Sofa', 'Trash cans', 'Wooden/parqueted flooring', 'Closet', 'Ironing facilities', 'Accessible by elevator', 'In-room safe box', 'Safety/security feature', 'Smoke detector'], 'city': 'Delhi NCR', 'link': 'https://agoda.com/en-gb/the-ashok-hotel/hotel/new-delhi-and-ncr-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-999&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=b7279941-44b9-4c5f-8bf9-6c553d4e58a8'}"
1,"{'Location': ""Hospitality District, Delhi International Airport, Delhi, Indira Gandhi Int'l Airport, New Delhi and NCR, India, 110006"", 'overall_rating': '7.7', 'Name': 'Lemon Tree Premier Delhi Airport Hotel', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Good Place”', 'Review_Body': 'Good place with good view '}, {'Review_Rating': '9.6', 'Review_Heading': 'Lovely stay”', 'Review_Body': 'Had a lovely one night stay en route to Jaipur with an old friend. (We are two women in their sixties travelling together.)\n Had been travelling for 24 hrs and arrived to friendly staff who couldn’t do enough to help and make us welcome. \nLocation very nice, clean and safe to wander around. \nLocal people very friendly to us. \nThe chef’s vegetarian special was delicious and reasonably priced in their Citrus restaurant. \nI would stay again. Absolutely. '}, {'Review_Rating': '9.6', 'Review_Heading': 'Exceptional”', 'Review_Body': '1. We could not use Breakfast facility since we were not sure of how to opt for the same while booking through Agoda. \n2. We were looking for 3 adults stay in a single room which was possible through Agoda. It is not possible to book through Lemon Tree official website since it gives a message that rooms are not available for our specs and dates.\n3. I spoke to reservation team of Lemon Tree through telephone and they confirmed that booking 3 Adults in a single room is not possible. \n4. Regarding Breakfast, if we opt at hotel, we have to pat in the restaurant which will be around Rs 1K per person.\nRest of the things were very good.  They have employed physically challenged people in house keeping and other areas and they are doing excellent job.  \nWe stayed for 3 nights and our stay was very peaceful to say the least. Friendly atmosphere and you can see lot of Check In /Out especially from the aircraft flying team of different airlines.\n'}, {'Review_Rating': '10.0', 'Review_Heading': 'Good”', 'Review_Body': 'Very good'}, {'Review_Rating': '9.6', 'Review_Heading': 'Exceptional”', 'Review_Body': ""Memorable experience.  Easy to travel to any place in Delhi and Metro station is nearby very advantage since it's Airport Express line""}, {'Review_Rating': '10.0', 'Review_Heading': 'Had great experience!!”', 'Review_Body': 'This was our first time in this hotel and i must say i was very pleased with my stay at this hotel. Staff was really good. Room was neat and clean. Room service was awesome. We will surely visit soon again.'}, {'Review_Rating': '9.6', 'Review_Heading': 'Lemon Tree Aero City Review”', 'Review_Body': 'My stay was short duration stay. First impression of the hotel is the cleanliness you observe. The rooms are just about enough for a solo traveller but very clean and the housekeeping staff did an excellent job at maintaining it that way.\n\nI also need to mention Sumit and Priyanka at the restaurant who offered me a complimentary breakfast when I realised I had booked the second night without breakfast. They were very kind and would also check up to see if the meal was going well.\n\nSpeaking of breakfast, they have a good spread and wait staff is prompt with requests and orders for live counters.\n\nOverall a happy stay at Lemon Tree hotel at Aerocity. Location wise, it is excellent and safe as it is in Aerocity and you have many options to dine out in the vicinity.'}, {'Review_Rating': '10.0', 'Review_Heading': 'Everything was good ”', 'Review_Body': 'Everything was good '}, {'Review_Rating': '2.0', 'Review_Heading': 'Crap”', 'Review_Body': 'Very unprofessional team and management '}, {'Review_Rating': '8.0', 'Review_Heading': 'Best option for travellers”', 'Review_Body': 'Near to AirPort Express metro line\nNear area you will find good spots to hangout and have dinner '}, {'Review_Rating': '8.8', 'Review_Heading': 'Good but could be better”', 'Review_Body': 'Room needs upgrade/ refurbishment. Breakfast was good. Staff was very courteous.'}, {'Review_Rating': '7.6', 'Review_Heading': 'Small rooms ”', 'Review_Body': 'Standard rooms are too small and cramped, also maintenance of rooms can be better compared to price rooms are not that well maintained and also have old look '}, {'Review_Rating': '8.0', 'Review_Heading': '4*”', 'Review_Body': 'Rate wise not good '}, {'Review_Rating': '6.8', 'Review_Heading': 'Good”', 'Review_Body': 'Good location'}, {'Review_Rating': '3.6', 'Review_Heading': 'Average property ”', 'Review_Body': 'Rooms are average type not worth to pay more than 4k!'}, {'Review_Rating': '9.6', 'Review_Heading': 'I liked Lemontree”', 'Review_Body': 'Overall great stay, after the last hotel in Delhi this was a nice upgrade. The Aerocity area is nice and quiet and super secure. Would recommend it for anyone who travels to Delhi and wants to be in peace.'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'The rooms are clean and comfortable and fairly standard across the Lemon Tree chain of hotels across the country and I prefer that familiarity. I also support the LemonTree Hotels HR policy of being a truly inclusive employer. '}, {'Review_Rating': '7.2', 'Review_Heading': 'No proper reception ”', 'Review_Body': 'No proper receiving at reception, not taking care of newly arrived customers  , food is not upto the mark'}, {'Review_Rating': '2.8', 'Review_Heading': 'Acceptable”', 'Review_Body': 'The staff was not quick. The rooms were very small as shown in the picture. Not value for money'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Good'}], 'price': '16,654', 'img_link': 'https://pix8.agoda.net/hotelImages/400561/-1/5ffec79da995d0c43675e7419cc813b5.jpg?ca=9&ce=1&s=1024x768', 'room_size': '19m²', 'amenities': ['City view', 'Non-smoking', 'Shower', 'Free Wi-Fi', 'Bathrobes', 'Hair dryer', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Alarm clock', 'Blackout curtains', 'Fan', 'Hypoallergenic', 'Linens', 'Private entrance', 'Slippers', 'Soundproofing', 'Wake-up service', 'Coffee/tea maker', 'Free bottled water', 'Mini bar', 'Refrigerator', 'Daily housekeeping', 'Desk', 'Seating area', 'Sofa', 'Tile/marble flooring', 'Wooden/parqueted flooring', 'Closet', 'Clothes rack', 'Ironing facilities', 'Trouser press', 'Accessible by elevator', 'In-room safe box', 'Locker'], 'city': 'Delhi NCR', 'link': 'https://agoda.com/en-gb/lemon-tree-premier-delhi-airport-hotel/hotel/new-delhi-and-ncr-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-999&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=b7279941-44b9-4c5f-8bf9-6c553d4e58a8'}"
2,"{'Location': ""NH - 8 Adjoining Shiv Murti Rangpuri Mahipalpur, Indira Gandhi Int'l Airport, New Delhi and NCR, India, 110037"", 'overall_rating': '6.3', 'Name': 'Westend Inn', 'reviews': [{'Review_Rating': '4.0', 'Review_Heading': 'Old worn out hotel”', 'Review_Body': 'Odd location near airport '}, {'Review_Rating': '6.0', 'Review_Heading': 'Above average”', 'Review_Body': 'It is very good property '}, {'Review_Rating': '4.4', 'Review_Heading': 'Property was not ok”', 'Review_Body': 'Its a old property basically , mantainence  is zero, not hot water supply..overall basic experience '}, {'Review_Rating': '3.6', 'Review_Heading': 'Highly Disappointing!”', 'Review_Body': 'Poor service, shitty location and clogged shower.'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Best Service,,,and hotel'}, {'Review_Rating': '2.0', 'Review_Heading': 'Fraudster Hotel”', 'Review_Body': ""Don't ever book this hotel....they don't provide the service they mention in the app...moreover their staffs are very rude and illiterate ""}, {'Review_Rating': '5.2', 'Review_Heading': 'Disappointed. ”', 'Review_Body': 'For Online booking, totally disrespectful and careless. Bad experience. '}, {'Review_Rating': '2.0', 'Review_Heading': 'Worst experience...”', 'Review_Body': 'Never select this hotel. This is not a hotel and more of a marriage hall.\nService is ZERO, you call on reception desk and forget, they will never come and look to your room.\n\nHopeless...'}, {'Review_Rating': '2.0', 'Review_Heading': 'Staff ”', 'Review_Body': 'Staff was not cooperative and was not behaving like professionals, the environment was not welcoming and comfortable. Should change reception staff '}, {'Review_Rating': '9.2', 'Review_Heading': 'Nice but can improve. ”', 'Review_Body': ""The hotel is quite nice and we'll maintained however, the staff (porter service) is not that apt. We prefer to carry our own weight but if I were to book this hotel for my ageing parents, then I would think twice. ""}, {'Review_Rating': '2.8', 'Review_Heading': 'Poor Customer service ”', 'Review_Body': 'Staff is not cooperative. Special requests made during booking not fulfilled. Overall worst experience during stay'}, {'Review_Rating': '10.0', 'Review_Heading': 'Good Hotel”', 'Review_Body': 'Good place to spend weekend. '}, {'Review_Rating': '9.2', 'Review_Heading': 'Good Hotel”', 'Review_Body': 'Nice hotel clean with good rooms , Helpful staff and close to the airport'}, {'Review_Rating': '2.0', 'Review_Heading': 'Worst experience ”', 'Review_Body': ""No cleaning .. staff is sooo unprofessional... Location worst... I don't want to see this hotel again in my life""}, {'Review_Rating': '4.4', 'Review_Heading': 'Not worth the price ”', 'Review_Body': 'Shady room!'}, {'Review_Rating': '8.0', 'Review_Heading': 'Very good”', 'Review_Body': 'value for money\n'}, {'Review_Rating': '2.0', 'Review_Heading': 'The worst staff and location ”', 'Review_Body': ""I had the worst experience here. The staff here is so rude, they are totally untrained and has no sense on how to talk to a customer. Seriously the worst I have ever seen. The location of hotel is also very bad. Its dirty and doesn't have a good vibe. I would recommend please dont ever try to stay at this property.""}, {'Review_Rating': '2.0', 'Review_Heading': 'Front desk staff is rude and rooms were not clean”', 'Review_Body': 'Washrooms were dirty, I saw cockroaches in bathroom and on dresser in room. Front desk guy was not welcoming. '}, {'Review_Rating': '4.0', 'Review_Heading': 'Worst hotel”', 'Review_Body': ""Very dirty with no hot water... As a whole very bad experience... Photos are deceptive... Not even half of what's showing in pics""}, {'Review_Rating': '9.6', 'Review_Heading': 'Easy check in and out”', 'Review_Body': 'Choose second floor garden view rooms '}], 'price': '2,558', 'img_link': 'https://pix8.agoda.net/hotelImages/2599397/15158258/08984dbcd1f1c5943d615744b4db8197.jpeg?ce=0&s=1024x768', 'room_size': '0', 'amenities': ['Garden view', 'Shower', 'Free Wi-Fi', 'Bathrobes', 'Hair dryer', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Daily newspaper', 'Linens', 'Soundproofing', 'Wake-up service', 'Coffee/tea maker', 'Free bottled water', 'Free instant coffee', 'Mini bar', 'Refrigerator', 'Desk', 'Seating area', 'Wooden/parqueted flooring', 'Closet', 'Trouser press', 'In-room safe box', 'Locker'], 'city': 'Delhi NCR', 'link': 'https://agoda.com/en-gb/glitz-westend-inn/hotel/new-delhi-and-ncr-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-999&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=b7279941-44b9-4c5f-8bf9-6c553d4e58a8'}"
3,"{'Location': '285-286, Millennium City Centre, Sector-29 Gurgaon, Gurgaon, New Delhi and NCR, India, 122001', 'overall_rating': 'Select your room', 'Name': 'Golden Tulip Gurgaon Sector 29', 'reviews': [{'Review_Rating': '6.4', 'Review_Heading': 'Location and staff are excellent”', 'Review_Body': 'Bathroom roller blind had fungus. Shower mixer was erratic and leaking. We had booked a double room. We’re provided twin beds put together, with a gap in the middle. What was strange was that two single duvets were clubbed together so that a substantial part had over lap. The staff initially reiterated that all ‘superior’ have the same arrangement. Later provided a double bed cover and duvet. '}, {'Review_Rating': '10.0', 'Review_Heading': 'Nice hotel with good location”', 'Review_Body': 'Stay was excellent in the hotel. Staff was very courteous. Rooms are well maintained and clean. Location is very good '}, {'Review_Rating': '6.4', 'Review_Heading': 'Good”', 'Review_Body': 'good'}, {'Review_Rating': '10.0', 'Review_Heading': 'Room with Balcony is the one to opt for”', 'Review_Body': 'Loved the room and space.  The stay was great '}, {'Review_Rating': '7.2', 'Review_Heading': 'Very good”', 'Review_Body': 'Mattress are really hard and so it becomes difficult to sleep rest is all fine'}, {'Review_Rating': '9.2', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Good hotel clean rooms well located '}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Ok'}, {'Review_Rating': '3.6', 'Review_Heading': 'No Service”', 'Review_Body': 'Staff is not attentive '}, {'Review_Rating': '9.6', 'Review_Heading': 'GREAT VIEW”', 'Review_Body': 'VIEW FROM THE TOP FLOOR ROOM IS NICE'}, {'Review_Rating': '3.2', 'Review_Heading': 'Pathetic Staff at Golden Tulip”', 'Review_Body': 'Property is located in an apt location however staff in the hotel is rude and also a crook.'}, {'Review_Rating': '7.2', 'Review_Heading': 'The location is the only bad news about this hotel”', 'Review_Body': ""Very nice the interior, clean and personnell very friendly. Food alright even if the westener choice are almost absent. If it wouldn't be for the location i would made this hotel my base in India.""}, {'Review_Rating': '5.2', 'Review_Heading': 'Poor service”', 'Review_Body': 'Poor service'}, {'Review_Rating': '9.3', 'Review_Heading': 'Decent place to stay ”', 'Review_Body': 'Bed is big and comfortable. WiFi speed is good, food and service are all good. '}, {'Review_Rating': '4.7', 'Review_Heading': 'A bit Tired”', 'Review_Body': 'They were flexible with my Agoda booking changes'}, {'Review_Rating': '6.7', 'Review_Heading': 'Nice and affordable hotel”', 'Review_Body': 'Affordable, quiet and close to a major attraction'}, {'Review_Rating': '5.0', 'Review_Heading': 'It is a fair and value for money hotel. ”', 'Review_Body': 'Friendly staff and reasonable price.'}, {'Review_Rating': '8.7', 'Review_Heading': 'Decent hotel”', 'Review_Body': 'Prompt service'}, {'Review_Rating': '4.7', 'Review_Heading': 'New hotel, but appears unfinished”', 'Review_Body': 'The bed '}, {'Review_Rating': '8.7', 'Review_Heading': 'Nice hotel with friendly staff”', 'Review_Body': 'good room, fair priced, friendly staff, room service, close to airport'}], 'price': '5,088', 'img_link': 'https://pix8.agoda.net/hotelImages/400118/-1/3e785750a6b6fcef2364ec97bc941f21.jpg?ca=28&ce=0&s=1024x768', 'room_size': '27m²', 'amenities': ['City view', 'Shower and bathtub', 'Free Wi-Fi', 'Mobility accessibility', 'Roll-in shower', 'Self-closing door', 'Accessible toilet', 'Adapted bath', 'Hair dryer', 'Mirror', 'Toiletries', 'Towels', 'Walk-in shower', 'Free use of business areas', 'Free Wi-Fi in all rooms!', 'Reading light', 'Satellite/cable channels', 'Telephone', 'Adapter', 'Air conditioning', 'Daily newspaper', 'Hand sanitizer', 'Heating', 'Linens', 'Sleep comfort items', 'Slippers', 'Soundproofing', 'Wake-up service', 'Coffee/tea maker', 'Free bottled water', 'Fruits/snacks', 'Mini bar', 'Refrigerator', 'Desk', 'Seating area', 'Tile/marble flooring', 'Wooden/parqueted flooring', 'Closet', 'Clothes rack', 'Ironing facilities', 'Trouser press', 'Accessible by elevator', 'Accessible by stairs', 'In-room safe box', 'Laptop safe box', 'Locker', 'Safety/security feature', 'Smoke detector'], 'city': 'Delhi NCR', 'link': 'https://agoda.com/en-gb/zone-by-the-park-hotel/hotel/new-delhi-and-ncr-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-999&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1,-1&los=1&searchrequestid=b7279941-44b9-4c5f-8bf9-6c553d4e58a8'}"
4,"{'Location': '287, Millennium City Center, Sector 29, Gurgaon 122001, Haryana, Gurgaon, New Delhi and NCR, India, 122001', 'overall_rating': 'Select your room', 'Name': 'Lemon Tree Premier City Centre Gurgaon', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Clean Hotel and Kind Staffs in the Middle of Busy City Gurgaon”', 'Review_Body': 'My experienc with Lemon Tree Premierre was amazingly wonderful. All staffs are nice and I feel secure because they gave me the second floor which dedicated for Ladies who travel alone. The breakfast buffet also lovely they always tend to my needs. They even let me to put my luggage while I roamed around the city while waiting for my night flight. I will come back for sure! Please hotel owner treat your staffs right because they are valuable assets for your hotel. I can’t name them all because every single person are very nice! '}, {'Review_Rating': '6.0', 'Review_Heading': 'Normal experience”', 'Review_Body': 'Normal quality for price. However no sound proof at all and so awaken at night due to noise from next room. Terrible. '}, {'Review_Rating': '7.2', 'Review_Heading': 'Very good”', 'Review_Body': 'Good '}, {'Review_Rating': '8.8', 'Review_Heading': 'Excellent”', 'Review_Body': 'Even after booking business room, male guest for  some meeting not allowed. Restricted guest policy..'}, {'Review_Rating': '10.0', 'Review_Heading': 'Very Good Hotel, Nice Staff”', 'Review_Body': 'Location very Good'}, {'Review_Rating': '10.0', 'Review_Heading': 'Amazing!!”', 'Review_Body': 'Loved it truly. Everything was perfect.'}, {'Review_Rating': '9.6', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Good & clean hotel. Staff was very helpful.'}, {'Review_Rating': '4.0', 'Review_Heading': 'Not worth the price. Rooms were like an average 2 star hotel”', 'Review_Body': 'Not worth the price. Rooms were like an average 2 star hotel. waste of money and time. worst lemon trip property ever'}, {'Review_Rating': '3.6', 'Review_Heading': 'Room equipments ”', 'Review_Body': 'The AC stopped running in middle of the night '}, {'Review_Rating': '9.6', 'Review_Heading': 'Good stay”', 'Review_Body': 'Must recommend thr balcony rooms. Very nice'}, {'Review_Rating': '9.2', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Nice garden attached rooms'}, {'Review_Rating': '6.4', 'Review_Heading': 'Nice Hotel with bizarre rules”', 'Review_Body': ""Stayed for a weekend with family. Hotel was clean and rooms were comparatively smaller than other hotels in the same area. Had 2 little infants travelling. Requested the staff to provide some hot water since there wasn't any hot water in shower at around 11am to which the room service guy said 'Hot water is avialble only from 7-10am and 6-9pm' which was quite an abusrd policy to a branded hotel.  Won't recommend to stay for family but its a nice business hotel.""}, {'Review_Rating': '7.6', 'Review_Heading': 'Good place to stay”', 'Review_Body': 'Service was bit slow, may be due to COVID the staff was less. I asked to change my electric kettle twice and both the time it was not clean. Apart from that my stay was enjoyable. Staff was very polite and good.'}, {'Review_Rating': '8.8', 'Review_Heading': 'Food ”', 'Review_Body': 'The food here was delicious both dinner and breakfast. The staff was very courteous and i read other reviews regarding dispute with a landlord, there is no such thing, you can go there hassle free\n\nWould recommend this place '}, {'Review_Rating': '9.2', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Food was very costly, When I asked for only plates and spoon to eat that I took from my home they asked 75rs plus taxes. This we found something bad. Rest everything was good.'}, {'Review_Rating': '2.0', 'Review_Heading': 'Hotel is non cooperative”', 'Review_Body': 'As we were a couple and opted for One large bed, but they provided us Twin bed room, which was not comfortable at all.\nAlso, We requested the management but they did not help us. '}, {'Review_Rating': '2.0', 'Review_Heading': 'Worst stay and staff”', 'Review_Body': 'Horrible experience\nRude Front desk staff\nGot room at 2:30pm\nHave to pay for dental kit 25rs\nNo house keeping incase if u need to clean in middle of stay.\nNo mask when we asked them to provide.\n'}, {'Review_Rating': '9.6', 'Review_Heading': 'Good experiece”', 'Review_Body': ""Overall it was a wonderful experience. Good facilities and service. \nI had asked for a double bed but was given 2 smaller beds. The elevator is a little confusing. Couldn't operate properly. The staff should make it more user friendly for travellers""}, {'Review_Rating': '6.0', 'Review_Heading': 'Nice”', 'Review_Body': 'Nice experience at the hotel'}, {'Review_Rating': '4.0', 'Review_Heading': 'Better options are available”', 'Review_Body': 'Dont chose lemon tree .. my first experience and so bad'}], 'price': '4,378', 'img_link': 'https://pix8.agoda.net/hotelImages/116/1160310/1160310_16020514360039677391.jpg?ca=6&ce=1&s=1024x768', 'room_size': '22m²', 'amenities': ['City view', 'Non-smoking', 'Free Wi-Fi', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Telephone', 'TV', 'Air conditioning', 'Daily newspaper', 'Fan', 'Soundproofing', 'Wake-up service', 'Free bottled water', 'Desk', 'Sofa', 'Closet', 'Ironing facilities'], 'city': 'Delhi NCR', 'link': 'https://agoda.com/en-gb/lemon-tree-premier-city-centre-gurgaon/hotel/new-delhi-and-ncr-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-999&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=b7279941-44b9-4c5f-8bf9-6c553d4e58a8'}"
